student_number;first_name;last_name;gender;email_addresses;role;asso_name;asso_desc
3946299;Alberto;DEVEAU;M;Alberto.DEVEAU@centralesupelec.fr,Alberto.DEVEAU@hotmail.com;secretary;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
3654631;Noëlle;BLOT;M;Noelle.BLOT@centralesupelec.fr,Noelle.BLOT@yahoo.fr;treasurer;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
5500184;Christianne;BIOTTEAU;W;Christianne.BIOTTEAU@centralesupelec.fr;president;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
9396096;Claude;MAROT;F;Claude.MAROT@centralesupelec.fr,Claude.MAROT@free.fr;vice-president;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
5654485;Rachel;CLAUDE;M;Rachel.CLAUDE@centralesupelec.fr;secretary;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
3434843;Laure;BOISSINOT;fille;Laure.BOISSINOT@centralesupelec.fr,Laure.BOISSINOT@yahoo.com;treasurer;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
2960755;Helmut;CHALOPIN;M;Helmut.CHALOPIN@centralesupelec.fr,Helmut.CHALOPIN@free.fr;president;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
5928897;Assia;TELLIER;F;Assia.TELLIER@centralesupelec.fr;vice-president;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
5679520;Ismaël;DIXNEUF;M;Ismael.DIXNEUF@centralesupelec.fr;secretary;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7848592;Jean-Max;RIOU;M;Jean-Max.RIOU@centralesupelec.fr;treasurer;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
5744405;Lisette;JOURDAIN;fille;Lisette.JOURDAIN@centralesupelec.fr;president;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
8132386;Mounir;HERBERT;garçon;Mounir.HERBERT@centralesupelec.fr;vice-president;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
1125045;Chantale;ROGER;W;Chantale.ROGER@centralesupelec.fr;secretary;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
1865983;Jean-Léon;CHEREAU;H;Jean-Leon.CHEREAU@centralesupelec.fr;treasurer;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
8788150;Elizabeth;PERRAULT;F;Elizabeth.PERRAULT@centralesupelec.fr,Elizabeth.PERRAULT@yahoo.com;president;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
8573060;Khadija;DOLLET;fille;Khadija.DOLLET@centralesupelec.fr,Khadija.DOLLET@sfr.fr;vice-president;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
982945;Romaric;ESNARD;M;Romaric.ESNARD@centralesupelec.fr;secretary;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
168621;Leïla;JURET;fille;Leila.JURET@centralesupelec.fr;treasurer;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
248790;Isidore;ROSSIGNOL;H;Isidore.ROSSIGNOL@centralesupelec.fr,Isidore.ROSSIGNOL@orange.fr;president;SBCS;Composé des deux associations (Sono et Barco), cette association...
254339;Omar;BODIN;garçon;Omar.BODIN@centralesupelec.fr;vice-president;SBCS;Composé des deux associations (Sono et Barco), cette association...
9535159;Louis;DESBOIS;M;Louis.DESBOIS@centralesupelec.fr;secretary;SBCS;Composé des deux associations (Sono et Barco), cette association...
5970331;Maryvonne;FOUGERE;W;Maryvonne.FOUGERE@centralesupelec.fr;treasurer;SBCS;Composé des deux associations (Sono et Barco), cette association...
4720458;Godefroy;CHENE;garçon;Godefroy.CHENE@centralesupelec.fr,Godefroy.CHENE@yahoo.com;president;Sono;
3043614;Dany;LIGER;H;Dany.LIGER@centralesupelec.fr,Dany.LIGER@hotmail.com;vice-president;Sono;
7231589;Jacob;BOURRIGAULT;M;Jacob.BOURRIGAULT@centralesupelec.fr,Jacob.BOURRIGAULT@sfr.fr;secretary;Sono;
3635356;Jean Toussaint;MICHELET;H;Jean Toussaint.MICHELET@centralesupelec.fr;treasurer;Sono;
4035655;Michéle;MAILLARD;W;Michele.MAILLARD@centralesupelec.fr;president;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
494042;Katell;PAYRAUDEAU;F;Katell.PAYRAUDEAU@centralesupelec.fr,Katell.PAYRAUDEAU@yahoo.com;vice-president;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
2206687;Marie Paule;GODEFROY;F;Marie Paule.GODEFROY@centralesupelec.fr,Marie Paule.GODEFROY@yahoo.fr;secretary;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
101046;Emmanuelle;DAGUIN;F;Emmanuelle.DAGUIN@centralesupelec.fr,Emmanuelle.DAGUIN@hotmail.fr;treasurer;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
7997977;Eva;SORIN;fille;Eva.SORIN@centralesupelec.fr,Eva.SORIN@orange.fr;president;Impact;
2883408;Fernando;BENARD;M;Fernando.BENARD@centralesupelec.fr;vice-president;Impact;
3724573;Ruddy;BARBAULT;M;Ruddy.BARBAULT@centralesupelec.fr;secretary;Impact;
2982167;Edouard;DALAINE;M;Edouard.DALAINE@centralesupelec.fr,Edouard.DALAINE@yahoo.fr;treasurer;Impact;
7719175;Eliane;CHOISNE;M;Eliane.CHOISNE@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
7719175;Eliane;CHOISNE;M;Eliane.CHOISNE@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
7719175;Eliane;CHOISNE;M;Eliane.CHOISNE@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7208231;Florian;COEFFARD;M;Florian.COEFFARD@centralesupelec.fr,Florian.COEFFARD@yahoo.fr;member;Barco;installation et exploitation de materiel video
7208231;Florian;COEFFARD;M;Florian.COEFFARD@centralesupelec.fr,Florian.COEFFARD@yahoo.fr;member;Sono;
7208231;Florian;COEFFARD;M;Florian.COEFFARD@centralesupelec.fr,Florian.COEFFARD@yahoo.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
5876984;Jacob;ROUSSIERE;garçon;Jacob.ROUSSIERE@centralesupelec.fr,Jacob.ROUSSIERE@yahoo.com;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7874799;Timothée;COUILLAUD;H;Timothee.COUILLAUD@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
7874799;Timothée;COUILLAUD;H;Timothee.COUILLAUD@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
7874799;Timothée;COUILLAUD;H;Timothee.COUILLAUD@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
2321657;Léonie;RELION;F;Leonie.RELION@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
1056327;Prosper;FERRON;H;Prosper.FERRON@centralesupelec.fr,Prosper.FERRON@sfr.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
1056327;Prosper;FERRON;H;Prosper.FERRON@centralesupelec.fr,Prosper.FERRON@sfr.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
1056327;Prosper;FERRON;H;Prosper.FERRON@centralesupelec.fr,Prosper.FERRON@sfr.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
2357186;Marie-Helene;COUVREUR;W;Marie-Helene.COUVREUR@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
2357186;Marie-Helene;COUVREUR;W;Marie-Helene.COUVREUR@centralesupelec.fr;member;Impact;
2357186;Marie-Helene;COUVREUR;W;Marie-Helene.COUVREUR@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
8298259;Béatrix;CHOISNET;fille;Beatrix.CHOISNET@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7085217;Geneviève;RAGUIN;W;Genevieve.RAGUIN@centralesupelec.fr,Genevieve.RAGUIN@hotmail.com;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
7085217;Geneviève;RAGUIN;W;Genevieve.RAGUIN@centralesupelec.fr,Genevieve.RAGUIN@hotmail.com;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7085217;Geneviève;RAGUIN;W;Genevieve.RAGUIN@centralesupelec.fr,Genevieve.RAGUIN@hotmail.com;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
2542500;Karl;ANIS;H;Karl.ANIS@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
6060655;Gina;GUILLEMET;fille;Gina.GUILLEMET@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
3656441;Camille;BOUET;garçon;Camille.BOUET@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
8264456;Juliette;RENOUX;F;Juliette.RENOUX@centralesupelec.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
8264456;Juliette;RENOUX;F;Juliette.RENOUX@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
2199095;Marie-Bernadette;PERRON;fille;Marie-Bernadette.PERRON@centralesupelec.fr,Marie-Bernadette.PERRON@google.com;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
2199095;Marie-Bernadette;PERRON;fille;Marie-Bernadette.PERRON@centralesupelec.fr,Marie-Bernadette.PERRON@google.com;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
2199095;Marie-Bernadette;PERRON;fille;Marie-Bernadette.PERRON@centralesupelec.fr,Marie-Bernadette.PERRON@google.com;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
3808222;Frantz;REVERDY;M;Frantz.REVERDY@centralesupelec.fr,Frantz.REVERDY@free.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
3808222;Frantz;REVERDY;M;Frantz.REVERDY@centralesupelec.fr,Frantz.REVERDY@free.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
3808222;Frantz;REVERDY;M;Frantz.REVERDY@centralesupelec.fr,Frantz.REVERDY@free.fr;member;Impact;
1443127;Marie-Céline;DENECHERE;fille;Marie-Celine.DENECHERE@centralesupelec.fr,Marie-Celine.DENECHERE@yahoo.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
8841242;Françoise;BOUDIER;M;Francoise.BOUDIER@centralesupelec.fr,Francoise.BOUDIER@hotmail.com;member;Impact;
1548313;Claude;PAULEAU;F;Claude.PAULEAU@centralesupelec.fr;member;Sono;
1548313;Claude;PAULEAU;F;Claude.PAULEAU@centralesupelec.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
1548313;Claude;PAULEAU;F;Claude.PAULEAU@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
7812504;Steeve;LUCAS;H;Steeve.LUCAS@centralesupelec.fr;member;Impact;
7812504;Steeve;LUCAS;H;Steeve.LUCAS@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
7812504;Steeve;LUCAS;H;Steeve.LUCAS@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
6684033;Nicole;PREZELIN;M;Nicole.PREZELIN@centralesupelec.fr,Nicole.PREZELIN@wanadoo.fr;member;Sono;
6684033;Nicole;PREZELIN;M;Nicole.PREZELIN@centralesupelec.fr,Nicole.PREZELIN@wanadoo.fr;member;BDA;l’asso qui s’occupe de tout ce qui est artistique sur le campus. Ça passe par l’organisation d’évènements tout au long de l’année, la gestion de Clubs artistes dans de nombreux domaines différents et la mise en place d’une billetterie en ligne permettant d’avoir des tarifs préférentiels dans des salles de spectacle parisiennes.
6987488;Lise-Marie;BEAUMIER;W;Lise-Marie.BEAUMIER@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
1489259;Marie-Joelle;HAMON;fille;Marie-Joelle.HAMON@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
1816455;Guy;GEFFARD;M;Guy.GEFFARD@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
1816455;Guy;GEFFARD;M;Guy.GEFFARD@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
1816455;Guy;GEFFARD;M;Guy.GEFFARD@centralesupelec.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
9419081;Arnauld;MESNARD;garçon;Arnauld.MESNARD@centralesupelec.fr,Arnauld.MESNARD@wanadoo.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
4142842;Jean-José;BONNEAU;M;Jean-Jose.BONNEAU@centralesupelec.fr,Jean-Jose.BONNEAU@orange.fr;member;Sono;
2492393;Moussa;LEMOINE;H;Moussa.LEMOINE@centralesupelec.fr,Moussa.LEMOINE@hotmail.com;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
2492393;Moussa;LEMOINE;H;Moussa.LEMOINE@centralesupelec.fr,Moussa.LEMOINE@hotmail.com;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
2492393;Moussa;LEMOINE;H;Moussa.LEMOINE@centralesupelec.fr,Moussa.LEMOINE@hotmail.com;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7552324;Huguette;LAMBERT;W;Huguette.LAMBERT@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
7552324;Huguette;LAMBERT;W;Huguette.LAMBERT@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
1143077;Stéphane;BOISTAULT;F;Stephane.BOISTAULT@centralesupelec.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
1143077;Stéphane;BOISTAULT;F;Stephane.BOISTAULT@centralesupelec.fr;member;Sono;
3654729;Cendrine;GOHIER;F;Cendrine.GOHIER@centralesupelec.fr,Cendrine.GOHIER@free.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
3654729;Cendrine;GOHIER;F;Cendrine.GOHIER@centralesupelec.fr,Cendrine.GOHIER@free.fr;member;Sono;
3654729;Cendrine;GOHIER;F;Cendrine.GOHIER@centralesupelec.fr,Cendrine.GOHIER@free.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
6838348;Jean-Charles;LEBRUN;H;Jean-Charles.LEBRUN@centralesupelec.fr,Jean-Charles.LEBRUN@yahoo.com;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
6838348;Jean-Charles;LEBRUN;H;Jean-Charles.LEBRUN@centralesupelec.fr,Jean-Charles.LEBRUN@yahoo.com;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
6838348;Jean-Charles;LEBRUN;H;Jean-Charles.LEBRUN@centralesupelec.fr,Jean-Charles.LEBRUN@yahoo.com;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
7272063;Valérie;MAILLOCHON;fille;Valerie.MAILLOCHON@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
4726982;Doris;LANDRY;fille;Doris.LANDRY@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
7339596;Najia;ALIGON;W;Najia.ALIGON@centralesupelec.fr,Najia.ALIGON@wanadoo.fr;member;BDE;représente les élèves de CentraleSupélec auprès de la direction et coordonne la vie associative sur le campus
6949831;Edwige;CHATEIGNER;F;Edwige.CHATEIGNER@centralesupelec.fr,Edwige.CHATEIGNER@hotmail.com;member;Barco;installation et exploitation de materiel video
6949831;Edwige;CHATEIGNER;F;Edwige.CHATEIGNER@centralesupelec.fr,Edwige.CHATEIGNER@hotmail.com;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
7930059;Marianne;LE GAL;H;Marianne.LE GAL@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
7930059;Marianne;LE GAL;H;Marianne.LE GAL@centralesupelec.fr;member;Barco;installation et exploitation de materiel video
1704351;Inès;﻿MARTIN;fille;Ines.MARTIN@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
1704351;Inès;﻿MARTIN;fille;Ines.MARTIN@centralesupelec.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
138039;Helen;COIFFARD;fille;Helen.COIFFARD@centralesupelec.fr,Helen.COIFFARD@yahoo.fr;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
138039;Helen;COIFFARD;fille;Helen.COIFFARD@centralesupelec.fr,Helen.COIFFARD@yahoo.fr;member;Sono;
138039;Helen;COIFFARD;fille;Helen.COIFFARD@centralesupelec.fr,Helen.COIFFARD@yahoo.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
7971456;Salim;GRIFFON;M;Salim.GRIFFON@centralesupelec.fr,Salim.GRIFFON@yahoo.com;member;Barco;installation et exploitation de materiel video
7971456;Salim;GRIFFON;M;Salim.GRIFFON@centralesupelec.fr,Salim.GRIFFON@yahoo.com;member;SBCS;Composé des deux associations (Sono et Barco), cette association...
1119943;Maude;ALGOURDIN;fille;Maude.ALGOURDIN@centralesupelec.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
1119943;Maude;ALGOURDIN;fille;Maude.ALGOURDIN@centralesupelec.fr;member;Sono;
7467470;Helga;GERNIGON;F;Helga.GERNIGON@centralesupelec.fr,Helga.GERNIGON@orange.fr;member;Sono;
7467470;Helga;GERNIGON;F;Helga.GERNIGON@centralesupelec.fr,Helga.GERNIGON@orange.fr;member;Barco;installation et exploitation de materiel video
7467470;Helga;GERNIGON;F;Helga.GERNIGON@centralesupelec.fr,Helga.GERNIGON@orange.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
3479955;Marie-Elisabeth;RAVARY;F;Marie-Elisabeth.RAVARY@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
3479955;Marie-Elisabeth;RAVARY;F;Marie-Elisabeth.RAVARY@centralesupelec.fr;member;Junior CentraleSupelec (JCS);Junior Entreprise de CS, cette association d'étudiants a vocation économique et pédagogique mais a but non lucratif permet aux eleves de monter en compétences en leur proposant de réaliser des missions pour des clients
6393605;Huguette;BOURBON;W;Huguette.BOURBON@centralesupelec.fr;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
6507216;Paul-André;LEFEVRE;H;Paul-Andre.LEFEVRE@centralesupelec.fr,Paul-Andre.LEFEVRE@wanadoo.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
6507216;Paul-André;LEFEVRE;H;Paul-Andre.LEFEVRE@centralesupelec.fr,Paul-Andre.LEFEVRE@wanadoo.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
4239662;Ursula;LHERBETTE;fille;Ursula.LHERBETTE@centralesupelec.fr,Ursula.LHERBETTE@google.com;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
4239662;Ursula;LHERBETTE;fille;Ursula.LHERBETTE@centralesupelec.fr,Ursula.LHERBETTE@google.com;member;FACS;Fédération d'associations de CS, cadre légal et financier d'une partie de l'associatif de CentraleSupélec, distribue des subventions et organise la coopération entre les associations
4239662;Ursula;LHERBETTE;fille;Ursula.LHERBETTE@centralesupelec.fr,Ursula.LHERBETTE@google.com;member;Barco;installation et exploitation de materiel video
5089004;Vincenza;DELAHAIE;fille;Vincenza.DELAHAIE@centralesupelec.fr,Vincenza.DELAHAIE@wanadoo.fr;member;Band'à Joe;la fanfare, où tout le monde débute un instrument et qui organise des voyages dans la France et l'Europe pour jouer de la musique
5089004;Vincenza;DELAHAIE;fille;Vincenza.DELAHAIE@centralesupelec.fr,Vincenza.DELAHAIE@wanadoo.fr;member;Cheer Up;une association qui accompagne des jeunes de 15 à 25 ans malades du cancer et les aide à réaliser leur projet
5089004;Vincenza;DELAHAIE;fille;Vincenza.DELAHAIE@centralesupelec.fr,Vincenza.DELAHAIE@wanadoo.fr;member;Barco;installation et exploitation de materiel video
975616;Ghislaine;GUIARD;garçon;Ghislaine.GUIARD@centralesupelec.fr;member;Toucan Déchaîné;le journal de l'école, impartial et omniscient, il est au coeur de l'actualité et n'hésite pas à révéler les plus grands scandales
